number,file,label,group,color
1,S03_selected_tokens_0001.wav,EH,8,Black
2,S03_selected_tokens_0002.wav,EH,8,Black
3,S03_selected_tokens_0003.wav,EH,8,Black
4,S03_selected_tokens_0004.wav,EH,8,Black
5,S03_selected_tokens_0005.wav,EH,8,Black
6,S03_selected_tokens_0006.wav,EH,8,Black
7,S03_selected_tokens_0007.wav,EH,8,Black
8,S03_selected_tokens_0008.wav,EH,8,Black
9,S03_selected_tokens_0009.wav,EH,8,Black
10,S03_selected_tokens_0010.wav,EH,8,Black
11,S03_selected_tokens_0011.wav,EH,8,Black
12,S03_selected_tokens_0012.wav,EH,8,Black
13,S03_selected_tokens_0013.wav,EH,8,Black
14,S03_selected_tokens_0014.wav,EH,8,Black
15,S03_selected_tokens_0015.wav,EH,8,Black
16,S03_selected_tokens_0016.wav,EH,8,Black
17,S03_selected_tokens_0017.wav,EH,8,Black
18,S03_selected_tokens_0018.wav,EH,8,Black
19,S03_selected_tokens_0019.wav,EH,8,Black
20,S03_selected_tokens_0020.wav,EH,8,Black
21,S03_selected_tokens_0021.wav,IY,13,Pink
22,S03_selected_tokens_0022.wav,IY,13,Pink
23,S03_selected_tokens_0023.wav,IY,13,Pink
24,S03_selected_tokens_0024.wav,IY,13,Pink
25,S03_selected_tokens_0025.wav,IY,13,Pink
26,S03_selected_tokens_0026.wav,IY,13,Pink
27,S03_selected_tokens_0027.wav,IY,13,Pink
28,S03_selected_tokens_0028.wav,IY,13,Pink
29,S03_selected_tokens_0029.wav,IY,13,Pink
30,S03_selected_tokens_0030.wav,IY,13,Pink
31,S03_selected_tokens_0031.wav,IY,13,Pink
32,S03_selected_tokens_0032.wav,IY,13,Pink
33,S03_selected_tokens_0033.wav,IY,13,Pink
34,S03_selected_tokens_0034.wav,IY,13,Pink
35,S03_selected_tokens_0035.wav,IY,13,Pink
36,S03_selected_tokens_0036.wav,IY,13,Pink
37,S03_selected_tokens_0037.wav,IY,13,Pink
38,S03_selected_tokens_0038.wav,IY,13,Pink
39,S03_selected_tokens_0039.wav,IY,13,Pink
40,S03_selected_tokens_0040.wav,IY,13,Pink
41,S03_selected_tokens_0041.wav,OW,14,Maroon
42,S03_selected_tokens_0042.wav,OW,14,Maroon
43,S03_selected_tokens_0043.wav,OW,14,Maroon
44,S03_selected_tokens_0044.wav,OW,14,Maroon
45,S03_selected_tokens_0045.wav,OW,14,Maroon
46,S03_selected_tokens_0046.wav,OW,14,Maroon
47,S03_selected_tokens_0047.wav,OW,14,Maroon
48,S03_selected_tokens_0048.wav,OW,14,Maroon
49,S03_selected_tokens_0049.wav,OW,14,Maroon
50,S03_selected_tokens_0050.wav,OW,14,Maroon
