file,winner,F1,F2,F3,edit
S03_selected_tokens_0001,9,9,9,9,0
S03_selected_tokens_0002,12,12,12,12,1
S03_selected_tokens_0003,9,9,9,9,0
S03_selected_tokens_0004,7,7,7,7,0
S03_selected_tokens_0005,9,9,9,9,0
S03_selected_tokens_0006,15,15,15,15,0
S03_selected_tokens_0007,10,10,10,10,0
S03_selected_tokens_0008,8,8,8,8,0
S03_selected_tokens_0009,9,9,9,9,0
S03_selected_tokens_0010,12,12,12,12,0
S03_selected_tokens_0011,9,9,9,9,0
S03_selected_tokens_0012,9,9,9,9,1
S03_selected_tokens_0013,7,7,7,7,0
S03_selected_tokens_0014,8,8,8,8,0
S03_selected_tokens_0015,5,5,5,5,0
S03_selected_tokens_0016,5,5,5,5,0
S03_selected_tokens_0017,8,8,8,8,0
S03_selected_tokens_0018,12,12,12,12,0
S03_selected_tokens_0019,7,7,7,7,0
S03_selected_tokens_0020,4,4,4,4,0
S03_selected_tokens_0021,6,6,6,6,0
S03_selected_tokens_0022,5,5,5,5,0
S03_selected_tokens_0023,16,16,16,16,0
S03_selected_tokens_0024,9,9,9,9,0
S03_selected_tokens_0025,8,8,8,8,0
S03_selected_tokens_0026,13,13,13,13,0
S03_selected_tokens_0027,6,6,6,6,0
S03_selected_tokens_0028,8,8,8,8,0
S03_selected_tokens_0029,10,10,10,10,0
S03_selected_tokens_0030,7,7,7,7,0
S03_selected_tokens_0031,17,17,17,17,0
S03_selected_tokens_0032,15,15,15,15,0
S03_selected_tokens_0033,15,15,15,15,0
S03_selected_tokens_0034,6,6,6,6,0
S03_selected_tokens_0035,6,6,6,6,0
S03_selected_tokens_0036,7,7,7,7,0
S03_selected_tokens_0037,8,8,8,8,0
S03_selected_tokens_0038,8,8,8,8,0
S03_selected_tokens_0039,15,15,15,15,0
S03_selected_tokens_0040,7,7,7,7,0
S03_selected_tokens_0041,2,2,2,2,0
S03_selected_tokens_0042,4,4,4,4,0
S03_selected_tokens_0043,5,5,5,5,0
S03_selected_tokens_0044,12,12,12,12,0
S03_selected_tokens_0045,4,4,4,4,0
S03_selected_tokens_0046,6,6,6,6,0
S03_selected_tokens_0047,4,4,4,4,0
S03_selected_tokens_0048,5,5,5,5,0
S03_selected_tokens_0049,5,5,5,5,0
S03_selected_tokens_0050,3,3,3,3,0
S03_selected_tokens_0051,12,12,12,12,0
S03_selected_tokens_0052,2,2,2,2,0
S03_selected_tokens_0053,6,6,6,6,0
S03_selected_tokens_0054,6,6,6,6,0
S03_selected_tokens_0055,6,6,6,6,0
S03_selected_tokens_0056,6,6,6,6,0
S03_selected_tokens_0057,6,6,6,6,0
S03_selected_tokens_0058,13,13,13,13,0
S03_selected_tokens_0059,3,3,3,3,0
S03_selected_tokens_0060,10,10,10,10,0
S03_selected_tokens_0061,13,13,13,13,0
S03_selected_tokens_0062,6,6,6,6,0
S03_selected_tokens_0063,5,5,5,5,0
S03_selected_tokens_0064,10,10,10,10,0
S03_selected_tokens_0065,7,7,7,7,0
S03_selected_tokens_0066,2,2,2,2,0
S03_selected_tokens_0067,1,1,1,1,0
S03_selected_tokens_0068,4,4,4,4,0
S03_selected_tokens_0069,5,5,5,5,0
S03_selected_tokens_0070,5,5,5,5,0
S03_selected_tokens_0071,2,2,2,2,0
S03_selected_tokens_0072,3,3,3,3,0
S03_selected_tokens_0073,5,5,5,5,0
S03_selected_tokens_0074,4,4,4,4,0
S03_selected_tokens_0075,3,3,3,3,0
S03_selected_tokens_0076,5,5,5,5,0
S03_selected_tokens_0077,6,6,6,6,0
S03_selected_tokens_0078,5,5,5,5,0
S03_selected_tokens_0079,5,5,5,5,0
S03_selected_tokens_0080,6,6,6,6,0
S03_selected_tokens_0081,8,8,8,8,0
S03_selected_tokens_0082,10,10,10,10,0
S03_selected_tokens_0083,6,6,6,6,0
S03_selected_tokens_0084,6,6,6,6,0
S03_selected_tokens_0085,9,9,9,9,0
S03_selected_tokens_0086,9,9,9,9,0
S03_selected_tokens_0087,18,18,18,18,0
S03_selected_tokens_0088,8,8,8,8,0
S03_selected_tokens_0089,10,10,10,10,0
S03_selected_tokens_0090,9,9,9,9,0
S03_selected_tokens_0091,11,11,11,11,0
S03_selected_tokens_0092,9,9,9,9,0
S03_selected_tokens_0093,14,14,14,14,0
S03_selected_tokens_0094,10,10,10,10,0
S03_selected_tokens_0095,8,8,8,8,0
S03_selected_tokens_0096,5,5,5,5,0
S03_selected_tokens_0097,10,10,10,10,0
S03_selected_tokens_0098,8,8,8,8,0
S03_selected_tokens_0099,11,11,11,11,0
S03_selected_tokens_0100,10,10,10,10,0
S03_selected_tokens_0101,10,10,10,10,0
S03_selected_tokens_0102,7,7,7,7,0
S03_selected_tokens_0103,11,11,11,11,0
S03_selected_tokens_0104,11,11,11,11,0
S03_selected_tokens_0105,8,8,8,8,0
S03_selected_tokens_0106,8,8,8,8,0
S03_selected_tokens_0107,12,12,12,12,0
S03_selected_tokens_0108,8,8,8,8,0
S03_selected_tokens_0109,10,10,10,10,0
S03_selected_tokens_0110,5,5,5,5,0
S03_selected_tokens_0111,8,8,8,8,0
S03_selected_tokens_0112,7,7,7,7,0
S03_selected_tokens_0113,8,8,8,8,0
S03_selected_tokens_0114,8,8,8,8,0
S03_selected_tokens_0115,8,8,8,8,0
S03_selected_tokens_0116,8,8,8,8,0
S03_selected_tokens_0117,5,5,5,5,0
S03_selected_tokens_0118,5,5,5,5,0
S03_selected_tokens_0119,4,4,4,4,0
S03_selected_tokens_0120,6,6,6,6,0
