filename,speaker,item_code,variableN,rowN,variantN,word,variant
S06_1-1-1_dental_M,S06,1-1-1,1,1,1,dental,M
S06_1-1-3_dental_N,S06,1-1-3,1,1,3,dental,N
S06_1-2-1_friendless_M,S06,1-2-1,1,2,1,friendless,M
S06_1-2-3_friendless_N,S06,1-2-3,1,2,3,friendless,N
S06_1-3-1_gemstone_M,S06,1-3-1,1,3,1,gemstone,M
S06_1-3-3_gemstone_N,S06,1-3-3,1,3,3,gemstone,N
S06_1-4-1_lemon_M,S06,1-4-1,1,4,1,lemon,M
S06_1-4-3_lemon_N,S06,1-4-3,1,4,3,lemon,N
S06_1-5-1_spenders_M,S06,1-5-1,1,5,1,spenders,M
S06_1-5-3_spenders_N,S06,1-5-3,1,5,3,spenders,N
S06_1-6-1_tendons_M,S06,1-6-1,1,6,1,tendons,M
S06_1-6-3_tendons_N,S06,1-6-3,1,6,3,tendons,N
S06_1-7-1_venture_M,S06,1-7-1,1,7,1,venture,M
S06_1-7-3_venture_N,S06,1-7-3,1,7,3,venture,N
S06_1-8-1_generates_M,S06,1-8-1,1,8,1,generates,M
S06_1-8-3_generates_N,S06,1-8-3,1,8,3,generates,N
S06_1-9-1_sentiments_M,S06,1-9-1,1,9,1,sentiments,M
S06_1-9-3_sentiments_N,S06,1-9-3,1,9,3,sentiments,N
S06_1-10-1_ventilates_M,S06,1-10-1,1,10,1,ventilates,M
S06_1-10-3_ventilates_N,S06,1-10-3,1,10,3,ventilates,N
S06_2-1-1_fieldwork_M,S06,2-1-1,2,1,1,fieldwork,M
S06_2-1-3_fieldwork_N,S06,2-1-3,2,1,3,fieldwork,N
S06_2-2-1_ceiling_M,S06,2-2-1,2,2,1,ceiling,M
S06_2-2-3_ceiling_N,S06,2-2-3,2,2,3,ceiling,N
S06_2-3-1_healers_M,S06,2-3-1,2,3,1,healers,M
S06_2-3-3_healers_N,S06,2-3-3,2,3,3,healers,N
S06_2-4-1_mealtime_M,S06,2-4-1,2,4,1,mealtime,M
S06_2-4-3_mealtime_N,S06,2-4-3,2,4,3,mealtime,N
S06_2-5-1_peeling_M,S06,2-5-1,2,5,1,peeling,M
