time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,408.6,269.2,2080.2,54.0,2651.2,295.0,431.2,2113,2695.2,189.5,74.8,4.5
0.028000,410.8,270.5,2090.2,57.4,2668.2,290.9,432.3,2115,2695.8,189.1,75,4.4
0.030000,415.6,280.8,2104.2,62.6,2676.1,288.6,434.1,2118.2,2696.7,188.6,75.2,4.2
0.032000,423.5,295.4,2120.0,66.0,2680.6,289.4,436.5,2122.5,2698.1,188.1,75.4,4.1
0.034000,434.5,303.1,2133.4,66.7,2687.2,289.5,439.4,2127.9,2699.9,187.6,75.6,4.2
0.036000,446.4,299.2,2142.7,66.9,2696.2,286.4,442.6,2134.2,2702.2,187,75.7,4.9
0.038000,457.3,290.5,2150.7,68.3,2706.4,280.9,446,2141.2,2705.1,186.5,75.9,6.1
0.040000,466.3,284.2,2159.6,70.5,2715.0,272.4,449.4,2148.7,2708.4,186,76,7.6
0.042000,473.8,284.5,2170.4,71.9,2722.5,256.9,452.6,2156.6,2712.4,185.5,76,9.1
0.044000,480.3,296.7,2182.3,72.5,2733.6,236.0,455.4,2164.6,2716.9,184.9,76.1,10.3
0.046000,484.3,323.5,2192.1,75.0,2747.2,217.5,457.8,2172.6,2722,184.4,76.1,10.9
0.048000,484.3,368.0,2198.9,82.1,2760.8,204.3,459.6,2180.3,2727.7,183.9,76,10.9
0.050000,479.5,422.8,2202.6,92.8,2772.0,196.7,460.6,2187.6,2733.9,183.5,75.9,10.6
0.052000,471.3,472.8,2203.2,102.6,2780.0,193.9,460.9,2194.3,2740.6,183,75.9,10.2
0.054000,459.7,518.7,2202.1,107.8,2786.4,196.3,460.3,2200.2,2747.7,182.6,75.8,10.1
0.056000,445.9,564.5,2201.2,107.6,2791.8,201.3,459,2205.3,2755.1,182.2,75.7,10.7
0.058000,433.7,600.4,2200.7,103.9,2793.6,204.7,456.9,2209.4,2762.6,181.9,75.7,11.8
0.060000,427.9,614.9,2200.3,99.8,2788.8,205.7,454.2,2212.4,2770.2,181.6,75.7,13.3
0.062000,428.3,615.9,2201.6,97.6,2780.4,204.9,451,2214.3,2777.6,181.3,75.7,14.7
0.064000,432.6,607.6,2205.4,97.9,2772.1,203.1,447.4,2215.2,2784.9,181,75.7,15.6
0.066000,437.3,598.5,2209.7,99.6,2768.5,200.8,443.6,2215,2791.7,180.8,75.6,15.6
0.068000,440.4,590.5,2211.9,100.2,2769.8,197.9,439.8,2213.8,2797.9,180.6,75.6,14.8
0.070000,441.3,579.5,2210.2,98.6,2772.8,195.5,436.2,2211.7,2803.5,180.5,75.4,13.4
0.072000,439.8,568.4,2205.2,95.9,2775.5,196.9,433,2208.7,2808.3,180.3,75.3,12.1
0.074000,436.5,563.0,2199.1,93.5,2778.5,206.0,430.2,2204.9,2812.1,180.2,75.2,11.3
