inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,stress,word,word_interval,word_start,word_end,previous_word,next_word
S10_selected_tokens,S10_selected_tokens_0001,EH,2,0.08,0.05,0.13,-,-,0,1,dental,1,0,0.56,-,-
S10_selected_tokens,S10_selected_tokens_0002,EH,4,0.06000000000000005,0.6545,0.7145,-,-,0,1,dental,3,0.5845,1.1945,-,-
S10_selected_tokens,S10_selected_tokens_0003,EH,6,0.07999999999999985,1.3827,1.4627,-,-,0,1,friendless,5,1.2127,2.0827,-,-
S10_selected_tokens,S10_selected_tokens_0004,EH,8,0.04999999999999982,2.3428,2.3928,-,-,0,1,friendless,7,2.1328,3.0028,-,-
S10_selected_tokens,S10_selected_tokens_0005,EH,10,0.10000000000000009,3.1136,3.2136,-,-,0,1,gemstone,9,3.0536,3.8336,-,-
S10_selected_tokens,S10_selected_tokens_0006,EH,12,0.05999999999999961,3.9634,4.0234,-,-,0,1,gemstone,11,3.8534,4.6634,-,-
S10_selected_tokens,S10_selected_tokens_0007,EH,14,0.07000000000000028,4.7943,4.8643,-,-,0,1,lemon,13,4.6843,5.2343,-,-
S10_selected_tokens,S10_selected_tokens_0008,EH,16,0.08000000000000007,5.4025,5.4825,-,-,0,1,lemon,15,5.2525,5.8325,-,-
S10_selected_tokens,S10_selected_tokens_0009,EH,18,0.09999999999999964,6.0963,6.1963,-,-,0,1,spenders,17,5.8863,6.7763,-,-
S10_selected_tokens,S10_selected_tokens_0010,EH,20,0.08000000000000007,7.1008,7.1808,-,-,0,1,spenders,19,6.8308,7.7808,-,-
S10_selected_tokens,S10_selected_tokens_0011,EH,22,0.08000000000000007,7.8868,7.9668,-,-,0,1,tendons,21,7.7968,8.5768,-,-
S10_selected_tokens,S10_selected_tokens_0012,EH,24,0.08000000000000007,8.7269,8.8069,-,-,0,1,tendons,23,8.6269,9.3969,-,-
S10_selected_tokens,S10_selected_tokens_0013,EH,26,0.09999999999999964,9.4997,9.5997,-,-,0,1,venture,25,9.4197,10.0397,-,-
S10_selected_tokens,S10_selected_tokens_0014,EH,28,0.08000000000000007,10.1573,10.2373,-,-,0,1,venture,27,10.0873,10.6773,-,-
S10_selected_tokens,S10_selected_tokens_0015,EH,30,0.08000000000000007,10.8044,10.8844,-,-,0,1,generates,29,10.7244,11.5544,-,-
S10_selected_tokens,S10_selected_tokens_0016,EH,32,0.05000000000000071,11.6557,11.7057,-,-,0,1,generates,31,11.5757,12.3957,-,-
S10_selected_tokens,S10_selected_tokens_0017,EH,34,0.08999999999999986,12.498,12.588,-,-,0,1,ventilates,33,12.418,13.358,-,-
S10_selected_tokens,S10_selected_tokens_0018,EH,36,0.06999999999999851,13.492,13.562,-,-,0,1,ventilates,35,13.432,14.322,-,-
S10_selected_tokens,S10_selected_tokens_0019,IY,38,0.11999999999999922,14.503,14.623,-,-,0,1,fieldwork,37,14.373,15.163,-,-
S10_selected_tokens,S10_selected_tokens_0020,IY,40,0.0600000000000005,15.3639,15.4239,-,-,0,1,fieldwork,39,15.2139,16.0139,-,-
S10_selected_tokens,S10_selected_tokens_0021,IY,42,0.129999999999999,16.2589,16.3889,-,-,0,1,ceiling,41,16.0589,16.7489,-,-
S10_selected_tokens,S10_selected_tokens_0022,IY,44,0.08000000000000185,16.9976,17.0776,-,-,0,1,ceiling,43,16.7976,17.4776,-,-
S10_selected_tokens,S10_selected_tokens_0023,IY,46,0.129999999999999,17.6197,17.7497,-,-,0,1,healers,45,17.4997,18.2397,-,-
S10_selected_tokens,S10_selected_tokens_0024,IY,48,0.0799999999999983,18.326,18.406,-,-,0,1,healers,47,18.256,18.936,-,-
S10_selected_tokens,S10_selected_tokens_0025,IY,50,0.11000000000000298,19.0602,19.1702,-,-,0,1,mealtime,49,18.9602,19.8002,-,-
S10_selected_tokens,S10_selected_tokens_0026,IY,52,0.0799999999999983,19.8987,19.9787,-,-,0,1,mealtime,51,19.8187,20.5387,-,-
S10_selected_tokens,S10_selected_tokens_0027,IY,54,0.16000000000000014,20.6357,20.7957,-,-,0,1,peeling,53,20.5557,21.2257,-,-
S10_selected_tokens,S10_selected_tokens_0028,IY,56,0.10999999999999943,21.2927,21.4027,-,-,0,1,peeling,55,21.2427,21.7927,-,-
S10_selected_tokens,S10_selected_tokens_0029,IY,58,0.10999999999999943,21.8737,21.9837,-,-,0,1,wheelchair,57,21.8137,22.5437,-,-
S10_selected_tokens,S10_selected_tokens_0030,IY,60,0.05999999999999872,22.6402,22.7002,-,-,0,1,wheelchair,59,22.5602,23.2402,-,-
S10_selected_tokens,S10_selected_tokens_0031,IY,62,0.14000000000000057,23.316,23.456,-,-,0,1,wielding,61,23.256,23.926,-,-
S10_selected_tokens,S10_selected_tokens_0032,IY,64,0.07000000000000028,24.0418,24.1118,-,-,0,1,wielding,63,23.9418,24.5518,-,-
S10_selected_tokens,S10_selected_tokens_0033,IY,66,0.120000000000001,24.8069,24.9269,-,-,0,1,steelworks,65,24.5669,25.6169,-,-
S10_selected_tokens,S10_selected_tokens_0034,IY,68,0.08000000000000185,25.8921,25.9721,-,-,0,1,steelworks,67,25.6621,26.7521,-,-
S10_selected_tokens,S10_selected_tokens_0035,IY,70,0.129999999999999,26.8079,26.9379,-,-,0,1,dealership,69,26.7679,27.4479,-,-
S10_selected_tokens,S10_selected_tokens_0036,IY,72,0.08000000000000185,27.5175,27.5975,-,-,0,1,dealership,71,27.4675,28.0775,-,-
S10_selected_tokens,S10_selected_tokens_0037,IY,74,0.129999999999999,28.181,28.311,-,-,0,1,wheelbarrow,73,28.101,28.961,-,-
S10_selected_tokens,S10_selected_tokens_0038,IY,76,0.05000000000000071,29.0728,29.1228,-,-,0,1,wheelbarrow,75,29.0128,29.7528,-,-
S10_selected_tokens,S10_selected_tokens_0039,OW,118,0.14999999999999858,43.7685,43.9185,-,-,0,1,coding,117,43.6585,44.2385,-,-
S10_selected_tokens,S10_selected_tokens_0040,OW,120,0.14999999999999858,44.3602,44.5102,-,-,0,1,coding,119,44.2602,44.8502,-,-
S10_selected_tokens,S10_selected_tokens_0041,OW,122,0.18999999999999773,44.9174,45.1074,-,-,0,1,goaded,121,44.8674,45.4274,-,-
S10_selected_tokens,S10_selected_tokens_0042,OW,124,0.1700000000000017,45.5116,45.6816,-,-,0,1,goaded,123,45.4516,46.0316,-,-
