file,winner,F1,F2,F3,edit
S10_selected_tokens_0001,19,19,19,19,0
S10_selected_tokens_0002,7,7,7,7,0
S10_selected_tokens_0003,9,9,9,9,0
S10_selected_tokens_0004,3,3,3,3,0
S10_selected_tokens_0005,4,4,4,4,0
S10_selected_tokens_0006,4,4,4,4,0
S10_selected_tokens_0007,14,14,14,14,0
S10_selected_tokens_0008,8,8,8,8,0
S10_selected_tokens_0009,7,7,7,7,0
S10_selected_tokens_0010,6,6,6,6,0
S10_selected_tokens_0011,5,5,5,5,0
S10_selected_tokens_0012,17,17,17,17,0
S10_selected_tokens_0013,4,4,4,4,0
S10_selected_tokens_0014,10,10,10,10,0
S10_selected_tokens_0015,20,20,20,20,0
S10_selected_tokens_0016,5,5,5,5,0
S10_selected_tokens_0017,17,17,17,17,0
S10_selected_tokens_0018,16,16,16,16,0
S10_selected_tokens_0019,12,12,12,12,0
S10_selected_tokens_0020,11,11,11,11,0
S10_selected_tokens_0021,12,12,12,12,0
S10_selected_tokens_0022,9,9,9,9,0
S10_selected_tokens_0023,14,14,14,14,0
S10_selected_tokens_0024,8,8,8,8,0
S10_selected_tokens_0025,1,1,1,1,0
S10_selected_tokens_0026,8,8,8,8,0
S10_selected_tokens_0027,8,8,8,8,0
S10_selected_tokens_0028,5,5,5,5,0
S10_selected_tokens_0029,6,6,6,6,0
S10_selected_tokens_0030,12,12,12,12,0
S10_selected_tokens_0031,11,11,11,11,0
S10_selected_tokens_0032,6,6,6,6,0
S10_selected_tokens_0033,8,8,8,8,0
S10_selected_tokens_0034,9,9,9,9,0
S10_selected_tokens_0035,5,5,5,5,0
S10_selected_tokens_0036,6,6,6,6,0
S10_selected_tokens_0037,11,11,11,11,0
S10_selected_tokens_0038,5,5,5,5,0
S10_selected_tokens_0039,14,14,14,14,0
S10_selected_tokens_0040,3,3,3,3,0
S10_selected_tokens_0041,3,3,3,3,0
S10_selected_tokens_0042,5,5,5,5,0
S10_selected_tokens_0043,10,10,10,10,0
S10_selected_tokens_0044,2,2,2,2,0
S10_selected_tokens_0045,14,14,14,14,0
S10_selected_tokens_0046,10,10,10,10,0
S10_selected_tokens_0047,4,4,4,4,0
S10_selected_tokens_0048,10,10,10,10,0
S10_selected_tokens_0049,6,6,6,6,0
S10_selected_tokens_0050,8,8,8,8,0
S10_selected_tokens_0051,3,3,3,3,0
S10_selected_tokens_0052,13,13,13,13,0
S10_selected_tokens_0053,8,8,8,8,0
S10_selected_tokens_0054,4,4,4,4,0
S10_selected_tokens_0055,2,2,2,2,0
S10_selected_tokens_0056,2,2,2,2,0
S10_selected_tokens_0057,5,5,5,5,0
S10_selected_tokens_0058,3,3,3,3,0
S10_selected_tokens_0059,6,6,6,6,0
S10_selected_tokens_0060,3,3,3,3,0
S10_selected_tokens_0061,3,3,3,3,0
S10_selected_tokens_0062,1,1,1,1,0
S10_selected_tokens_0063,6,6,6,6,0
S10_selected_tokens_0064,3,3,3,3,0
S10_selected_tokens_0065,3,3,3,3,0
S10_selected_tokens_0066,4,4,4,4,0
S10_selected_tokens_0067,2,2,2,2,0
S10_selected_tokens_0068,4,4,4,4,0
S10_selected_tokens_0069,2,2,2,2,0
S10_selected_tokens_0070,6,6,6,6,0
S10_selected_tokens_0071,2,2,2,2,0
S10_selected_tokens_0072,5,5,5,5,0
S10_selected_tokens_0073,5,5,5,5,0
S10_selected_tokens_0074,4,4,4,4,0
S10_selected_tokens_0075,12,12,12,12,0
S10_selected_tokens_0076,4,4,4,4,0
S10_selected_tokens_0077,5,5,5,5,0
S10_selected_tokens_0078,6,6,6,6,0
S10_selected_tokens_0079,5,5,5,5,0
S10_selected_tokens_0080,15,15,15,15,0
S10_selected_tokens_0081,6,6,6,6,0
S10_selected_tokens_0082,5,5,5,5,0
S10_selected_tokens_0083,8,8,8,8,0
S10_selected_tokens_0084,20,20,20,20,0
S10_selected_tokens_0085,8,8,8,8,0
S10_selected_tokens_0086,7,7,7,7,0
S10_selected_tokens_0087,11,11,11,11,0
S10_selected_tokens_0088,14,14,14,14,0
S10_selected_tokens_0089,6,6,6,6,0
S10_selected_tokens_0090,7,7,7,7,0
S10_selected_tokens_0091,5,5,5,5,0
S10_selected_tokens_0092,6,6,6,6,0
S10_selected_tokens_0093,3,3,3,3,0
S10_selected_tokens_0094,5,5,5,5,0
S10_selected_tokens_0095,5,5,5,5,0
S10_selected_tokens_0096,5,5,5,5,0
S10_selected_tokens_0097,6,6,6,6,0
S10_selected_tokens_0098,20,20,20,20,0
S10_selected_tokens_0099,16,16,16,16,0
S10_selected_tokens_0100,10,10,10,10,0
S10_selected_tokens_0101,7,7,7,7,0
S10_selected_tokens_0102,6,6,6,6,0
S10_selected_tokens_0103,5,5,5,5,0
S10_selected_tokens_0104,9,9,9,9,0
S10_selected_tokens_0105,11,11,11,11,0
S10_selected_tokens_0106,15,15,15,15,0
S10_selected_tokens_0107,6,6,6,6,0
S10_selected_tokens_0108,7,7,7,7,0
S10_selected_tokens_0109,8,8,8,8,0
S10_selected_tokens_0110,7,7,7,7,0
S10_selected_tokens_0111,12,12,12,12,0
S10_selected_tokens_0112,3,3,3,3,0
S10_selected_tokens_0113,11,11,11,11,0
S10_selected_tokens_0114,15,15,15,15,0
S10_selected_tokens_0115,15,15,15,15,0
S10_selected_tokens_0116,4,4,4,4,0
