e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
203.8,59.8,77.7,239.3,336.4,164.9,213.3,108.4,35.1,34.8,33.2,36,29.5,30.3,31.4,31.5,37.5,44.3,48.2,64.2
24.8,13.2,12.9,12.8,164.1,11.9,11.6,11.4,12.1,12.6,17,24,24.1,18.9,15.1,10.9,16.8,34.8,74.3,118.2
111.3,78.5,84,302.4,253.9,221.3,24,21.6,21.6,21.8,25.3,29.6,32.5,31,21.7,17.6,17.8,19.8,26.1,43.5
330.9,443.7,189.1,220.4,158.3,232.6,25.6,23.7,23.3,24.1,29.3,29.5,28.8,27.9,26.1,27.7,29.3,25.5,26.7,46.1
131,124.3,148.8,60.9,12.2,11.6,10.5,12.9,14.7,21,16.2,22,19.8,26.6,23.8,25.5,33.4,35.4,39.8,34.1
15.9,15.6,15.2,14.8,16.2,15.6,15.6,15.5,13.1,19.1,19.6,16.2,16.9,16.7,17.2,17.9,19.3,25.8,26.3,29.7
272.7,431,708.9,567.1,259.1,407,39.7,42.9,45.4,46.8,48.8,50.2,54.4,58.4,59.5,62.7,64.3,65.3,67.7,71.8
204.6,89.1,19.5,21,21.7,24.9,26.3,28.3,31.5,32.7,32.5,26.4,29.4,38.5,29.9,38.5,47,55.1,60.2,111.1
658.2,838.5,472.7,561.7,415.1,49.5,47.8,42.1,37.2,36,37.3,36.7,35.7,40.8,49.4,43.3,48.1,50.4,46.5,51.7
246.4,332.2,218.2,174.4,16.4,16.3,17.2,16.5,15.3,13.3,16.3,19.6,26.3,28.4,29.7,26.6,54.6,53.7,50.1,50.8
280.3,228.3,418,241.4,213.6,108.8,40.7,32.3,31.5,31.2,33.6,37.1,41.6,50.8,66.1,57.6,55.3,42.9,40,70.7
54.9,82.8,20.5,17.5,17.7,21.3,18.8,17.8,19.9,21,25.4,30.7,42.1,54.4,62.5,72.8,66.4,63.5,123.6,181.8
30.1,256.9,221.6,211.8,75.1,12.1,11.1,12.7,13,13.2,13,12.3,12.5,12.5,12.1,12.4,14.4,19.1,19.9,23.1
22.5,19.3,19.8,20.9,19.9,18.2,18.4,18,17.9,19.5,26.9,33.8,34.9,30.5,28.9,25.5,22.8,18.5,20.9,28.9
54.6,97.2,357.5,356.9,248,20.3,21.6,24.3,25.1,25.2,21.8,22.2,23.3,21.4,20.4,21.2,22.5,26.3,26.6,23.5
9.5,9,8.2,9.1,8.1,9.6,9.2,11.6,11.9,10.9,13.7,12.9,13.1,12.2,9.9,7.2,5.4,10.6,10.7,16.5
29.8,211,322.5,10047.2,10185.8,502.3,194.1,11.5,11.2,10.8,12.6,14.5,16.7,16.4,15.2,14.3,14.4,13.6,12.3,11.9
40,156.8,382,625.2,8,8.8,6.8,7.9,7.3,6,8,7.3,8,10.4,8.8,11.7,8.7,12,11.9,17
18.3,134.5,112.4,186.2,223.1,9,8.6,7.7,8.1,8.7,11.3,12.3,13.3,13.8,13,11.5,11.4,11.5,13.3,16.1
12.2,9.8,195.4,211,347.1,6.6,5.5,7.2,7,6.4,5.5,5.8,6.9,5.3,5.2,6,6.6,10.5,17.7,32
140.3,246.8,450.6,459,282.5,180.7,168.8,46.1,179.9,101.3,47.9,48.4,46,44,41.6,40.5,40.3,197.1,202.5,210.1
89.2,257.2,174.4,86.8,129.9,61.5,16.8,16.8,16.8,17.1,18.2,18,17.6,18,19.1,20.2,21.6,24,26.8,33.1
83,100.8,252.2,522,601.8,719.2,601.3,353.3,43.9,41.6,41.3,41,42.8,54.1,62.1,58.2,50.7,48.9,52,63.4
74,62.6,65.8,379.7,468.3,119.5,25.3,26.6,28.1,28.8,27.3,24.3,23.8,26.6,30.1,30.3,38.4,51.3,64.8,79.8
190.5,246.5,258.2,400.1,289.9,285.8,183,56.9,56,56.2,58.2,65.2,77.6,90.4,98.2,118.3,114.7,108.4,115.7,134.4
226.8,155.9,248.9,165.8,239.4,291.9,65.8,65.8,63.5,58.8,56.7,51.7,57.1,97.8,167.7,162.3,142.7,117.3,149.3,283.7
577.2,557.5,530.9,449,372.4,481.3,101.7,69.9,84.7,135.3,159.2,167,196.1,209,203.2,406.7,327.7,287,273.4,234.9
128.5,162.1,234.8,207.5,330.8,33.9,32,30.6,29.7,30.2,35.9,36.2,38.9,41.9,42.5,41.7,47.3,40,43.9,48.1
395.3,307.9,405.6,421,432.1,195.8,51.7,50.1,55,61.4,79.4,81.4,82.9,92.1,92.7,121.5,166.3,121.3,201.9,404.2
101.3,155.5,123.7,117,140.1,106.4,83.5,65.8,62.8,62.1,64,76.9,91,92.5,102.9,94.2,92,325.9,401.5,434
272.8,268.6,361.5,48.5,48.8,45.8,46,45.5,48.3,50.3,95.2,99.7,90.7,86.2,80.5,99.2,128.5,145.7,222.2,265.2
122.1,34.5,29.2,26.2,26.6,26.6,26.6,27.9,29.4,31.3,54.9,98.2,61.5,53.9,51.9,57.4,188.8,212.6,167.9,148.5
124.6,155.8,317.4,296.8,45,51,44.3,41,41.9,50.7,82.5,162.6,152.6,97.5,172.2,154.1,111.9,372.7,280.6,461.4
232.4,89.3,34.1,30,31.9,35.6,35.4,33.3,36.5,41.4,61.3,48.7,59.6,94.6,77.5,82.6,111.6,111.7,72.2,115.1
