file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35,f16,f26,f36,f17,f27,f37,f18,f28,f38,f19,f29,f39
S18_selected_tokens_0001,173.9,0.09,EH,8,Black,1,7526,664,1956,3044,718,1950,3078,744,1949,3118,769,1930,3136,790,1928,3122,788,1926,3108,769,1935,3124,740,1945,3198,696,1944,3256
S18_selected_tokens_0002,177.7,0.07,EH,8,Black,2,6579,493,2293,3113,507,2303,3142,517,2311,3152,525,2303,3167,526,2277,3194,524,2247,3199,510,2210,3198,486,2167,3191,446,2127,3205
S18_selected_tokens_0003,180.1,0.07,EH,8,Black,3,6579,811,1632,2109,841,1710,2239,849,1797,2381,848,1836,2533,846,1887,2673,833,1928,2875,805,1934,2958,767,1926,3009,725,1897,3065
S18_selected_tokens_0004,177.2,0.068,EH,8,Black,4,6421,599,1765,2115,619,1831,2238,633,1871,2349,633,1945,2514,622,1960,2759,606,1951,2947,589,1938,3113,553,1902,3170,500,1912,3312
S18_selected_tokens_0005,168.6,0.1,EH,8,Black,5,6895,614,2077,2953,675,2013,2893,700,1951,2920,725,1905,2896,752,1871,2921,757,1821,2944,747,1805,2965,723,1791,3001,673,1784,2945
S18_selected_tokens_0006,179.2,0.048,EH,8,Black,6,5947,422,2124,2919,460,2113,2918,505,2098,2908,524,2087,2900,532,2081,2899,536,2069,2898,537,2047,2880,529,2011,2854,511,1960,2824
S18_selected_tokens_0007,168.6,0.108,EH,8,Black,7,7526,735,1685,3245,779,1767,3230,822,1816,3247,846,1865,3252,847,1874,3255,847,1884,3246,836,1913,3230,805,1936,3236,738,1890,3213
S18_selected_tokens_0008,171.7,0.088,EH,8,Black,8,6105,440,1605,3050,482,1761,3049,502,1883,3087,512,1970,3098,519,2056,3102,525,2064,3099,526,2071,3099,523,2065,3084,510,2028,3054
S18_selected_tokens_0009,171.2,0.118,EH,8,Black,9,5474,635,1881,2791,674,1888,2824,696,1915,2875,736,1926,2907,778,1935,2913,777,1959,2957,759,1982,2991,720,1988,3008,647,1981,3056
S18_selected_tokens_0010,184.1,0.078,EH,8,Black,10,5789,428,2087,2895,442,2135,2948,475,2183,3001,511,2194,3072,514,2203,3091,515,2207,3124,515,2202,3104,510,2189,3090,477,2161,3094
S18_selected_tokens_0011,181.3,0.108,EH,8,Black,11,5947,825,2282,3347,802,2128,3378,798,2072,3131,804,2101,3122,790,2102,3153,772,2097,3161,746,2091,3162,713,2089,3174,677,2082,3140
S18_selected_tokens_0012,188.2,0.07,EH,8,Black,12,7053,431,2284,3248,535,2302,3291,539,2296,3308,528,2291,3291,524,2280,3255,518,2278,3244,509,2270,3272,495,2264,3323,476,2242,3357
S18_selected_tokens_0013,168.4,0.088,EH,8,Black,13,5947,544,1857,2786,594,1884,2846,647,1933,2888,677,1960,2932,691,1968,2983,698,1972,3044,694,1994,3129,676,2006,3211,657,2035,3242
S18_selected_tokens_0014,179.1,0.078,EH,8,Black,14,5158,464,2004,2801,476,2050,2838,494,2109,2854,505,2129,2887,514,2145,2938,520,2161,2981,521,2169,3017,511,2178,3058,479,2166,3108
S18_selected_tokens_0015,173.8,0.088,EH,8,Black,15,5316,561,2083,2895,649,2063,2849,699,2009,2806,714,1962,2784,748,1950,2820,776,1951,2849,779,1939,2859,769,1929,2885,743,1918,2903
S18_selected_tokens_0016,182.6,0.06,EH,8,Black,16,5000,494,2199,2839,530,2193,2824,561,2186,2815,578,2173,2806,599,2160,2835,634,2148,2867,673,2134,2873,690,2112,2863,681,2079,2856
S18_selected_tokens_0017,180.2,0.08,EH,8,Black,17,7368,527,1900,2967,669,1962,3036,762,2002,3074,762,1998,3128,771,2007,3181,794,2028,3238,796,2032,3249,777,2027,3243,735,2009,3250
S18_selected_tokens_0018,189.9,0.068,EH,8,Black,18,7368,471,1986,2969,494,2029,3030,553,2096,3101,587,2106,3105,595,2114,3099,605,2134,3129,606,2136,3192,576,2097,3198,512,2069,3165
S18_selected_tokens_0019,166.9,0.088,EH,8,Black,19,6105,631,1815,2739,668,1826,2770,699,1847,2789,740,1878,2835,764,1901,2892,767,1940,2954,744,1956,3006,704,1964,3045,663,1972,3053
S18_selected_tokens_0020,178.3,0.068,EH,8,Black,20,5789,460,1924,2771,515,1975,2828,552,2049,2913,572,2104,3017,581,2122,3058,579,2127,3089,569,2132,3123,553,2130,3103,503,2111,3054
S18_selected_tokens_0021,191.1,0.158,IY,13,Pink,21,5474,309,2410,3009,370,2459,3017,370,2530,3125,373,2486,3034,384,2418,2908,403,2224,2804,489,1975,2798,548,1669,2895,574,1438,2932
S18_selected_tokens_0022,189.1,0.078,IY,13,Pink,22,6105,498,1869,2901,511,1837,2882,523,1831,2921,554,1807,2956,571,1733,2980,584,1678,2995,597,1650,3030,609,1556,3097,610,1462,3146
S18_selected_tokens_0023,194.8,0.148,IY,13,Pink,23,6263,363,2335,2830,360,2547,2923,357,2723,3102,361,2705,3095,374,2634,2936,409,2422,2953,433,2140,2988,450,1851,2988,466,1564,3049
S18_selected_tokens_0024,195.7,0.08,IY,13,Pink,24,6105,116,1930,2965,327,1983,3031,502,1980,3014,550,1965,3029,590,1937,3069,611,1845,3110,554,1736,3156,493,1671,3165,1382,3197,4145
S18_selected_tokens_0025,203.7,0.148,IY,13,Pink,25,6421,366,2669,3343,378,2694,3360,381,2720,3326,389,2703,3218,406,2631,3093,421,2423,2960,432,2145,2915,452,1843,2929,488,1523,2995
S18_selected_tokens_0026,205.2,0.11,IY,13,Pink,26,5316,2203,3158,4616,520,2194,3259,632,2273,3194,668,2143,3203,657,1964,3108,433,1743,3110,500,1646,3196,1409,3223,4184,1255,3198,4118
S18_selected_tokens_0027,184.7,0.148,IY,13,Pink,27,7526,368,2794,3573,377,2776,3517,383,2740,3503,394,2754,3481,407,2692,3392,437,2531,3259,564,2214,3106,698,1914,3117,827,1713,3240
S18_selected_tokens_0028,182.3,0.09,IY,13,Pink,28,6737,1555,2465,3807,338,2310,3408,2100,3096,4047,383,2000,3178,460,1893,3165,563,1810,3236,665,1690,3273,728,1608,3282,858,1358,3317
S18_selected_tokens_0029,182.2,0.148,IY,13,Pink,29,6263,285,2658,3468,360,2620,3375,361,2607,3293,367,2611,3146,382,2488,3027,430,2300,2960,507,2028,2953,521,1749,2999,518,1474,3049
S18_selected_tokens_0030,190.1,0.088,IY,13,Pink,30,5158,713,2098,2973,669,2022,2948,690,1906,2963,636,1837,2943,612,1743,2980,616,1656,2964,624,1585,2975,605,1456,3011,588,1370,3012
S18_selected_tokens_0031,189.6,0.158,IY,13,Pink,31,5632,325,1764,2590,328,2415,2674,346,2579,2905,366,2501,2887,391,2387,2899,412,2188,2878,482,1885,2887,534,1658,2912,551,1450,3017
S18_selected_tokens_0032,185.4,0.09,IY,13,Pink,32,6579,1143,2461,3740,1293,2450,3736,925,2453,3765,632,2274,3677,621,2053,3619,637,1918,3440,613,1723,3364,633,1623,3341,531,1372,3338
S18_selected_tokens_0033,173.6,0.108,IY,13,Pink,33,5632,342,1685,2603,342,2161,2679,346,2397,2744,360,2356,2791,375,2270,2827,412,2171,2873,485,1933,2879,540,1700,2914,572,1487,2996
S18_selected_tokens_0034,182.9,0.068,IY,13,Pink,34,5947,467,1573,3160,330,1641,3175,291,1736,3329,228,1694,3226,1593,3110,4136,1550,3079,4076,285,1454,3094,1208,3145,4119,845,2196,3697
S18_selected_tokens_0035,189.9,0.12,IY,13,Pink,35,6579,373,2482,3175,380,2528,3197,387,2513,3133,392,2480,3024,405,2393,2927,431,2235,2869,512,2033,2852,579,1801,2873,606,1570,2981
S18_selected_tokens_0036,183.3,0.068,IY,13,Pink,36,6263,431,1867,2990,463,1832,2984,517,1814,2980,554,1788,2961,580,1701,2970,596,1616,2984,614,1557,3025,626,1474,3065,625,1417,3083
S18_selected_tokens_0037,186.2,0.158,IY,13,Pink,37,5789,332,2351,2906,344,2394,2858,347,2388,2805,357,2435,2815,372,2455,2868,395,2336,2876,427,2073,2879,476,1774,2935,475,1430,2934
S18_selected_tokens_0038,190,0.088,IY,13,Pink,38,6263,1960,3098,4251,1936,3104,4218,1905,3082,4206,309,1881,3098,1703,3117,4207,413,1677,3146,432,1494,3139,428,1415,3188,536,1217,3279
S18_selected_tokens_0039,189.5,0.15,IY,13,Pink,39,5632,349,1783,2662,348,2151,2712,355,2450,2833,372,2411,2872,387,2373,2901,399,2200,2883,445,2008,2864,516,1771,2901,556,1535,2942
S18_selected_tokens_0040,188.2,0.09,IY,13,Pink,40,5632,407,1511,2767,422,1660,2787,441,1707,2798,471,1721,2808,504,1714,2807,526,1696,2830,546,1672,2941,560,1584,3045,561,1479,3152
S18_selected_tokens_0041,185.2,0.178,OW,14,Maroon,41,5474,703,1751,2692,657,1714,2663,615,1651,2653,574,1538,2658,541,1459,2645,521,1418,2638,492,1407,2603,480,1484,2593,461,1682,2596
S18_selected_tokens_0042,181,0.168,OW,14,Maroon,42,5632,554,1093,2577,547,1033,2596,531,970,2591,510,926,2616,481,902,2622,458,891,2547,445,905,2518,445,1059,2526,447,1249,2533
S18_selected_tokens_0043,181.3,0.208,OW,14,Maroon,43,5947,547,2001,2652,581,1920,2657,573,1854,2654,545,1793,2670,525,1681,2684,499,1622,2691,473,1559,2647,455,1610,2609,441,1810,2573
S18_selected_tokens_0044,170.4,0.208,OW,14,Maroon,44,5158,499,1074,2486,528,1063,2548,525,1042,2551,511,1022,2547,497,1010,2555,478,994,2566,462,1003,2559,465,1101,2519,462,1294,2446
S18_selected_tokens_0045,187.3,0.2,OW,14,Maroon,45,5474,755,1876,2900,674,1802,2834,611,1708,2787,562,1655,2794,529,1521,2781,495,1480,2738,473,1494,2748,448,1572,2761,406,1640,2768
S18_selected_tokens_0046,181.2,0.2,OW,14,Maroon,46,5789,570,1125,2800,557,1104,2766,541,1078,2755,517,1054,2831,473,1012,2871,429,1038,2818,397,1089,2745,374,1281,2763,362,1642,2783
S18_selected_tokens_0047,182.1,0.2,OW,14,Maroon,47,5789,622,1559,2763,632,1586,2796,628,1601,2809,605,1590,2770,572,1555,2802,541,1509,2804,505,1463,2759,479,1447,2708,447,1490,2494
S18_selected_tokens_0048,164.4,0.178,OW,14,Maroon,48,5474,477,1011,2527,500,985,2517,496,974,2517,489,955,2516,478,944,2493,468,957,2487,452,989,2477,444,1128,2447,429,1320,2309
S18_selected_tokens_0049,187.5,0.178,OW,14,Maroon,49,5316,633,1590,2696,594,1553,2610,563,1542,2575,544,1501,2607,528,1467,2618,507,1408,2607,478,1385,2617,446,1454,2661,406,1511,2677
S18_selected_tokens_0050,178,0.18,OW,14,Maroon,50,5632,494,933,2740,495,905,2784,476,886,2859,454,862,2823,424,851,2762,393,872,2717,381,916,2718,373,1102,2733,363,1422,2745
S18_selected_tokens_0051,175.7,0.18,OW,14,Maroon,51,5947,564,1718,2346,602,1721,2485,613,1715,2561,600,1660,2529,571,1576,2531,552,1473,2549,530,1404,2568,501,1247,2563,441,1179,2573
S18_selected_tokens_0052,171.5,0.15,OW,14,Maroon,52,5632,519,992,2305,512,933,2484,502,900,2632,486,880,2703,478,863,2737,463,844,2760,452,814,2663,419,781,2555,385,831,2538
S18_selected_tokens_0053,182.6,0.22,OW,14,Maroon,53,6579,565,1916,2899,642,1953,2929,636,1953,2931,599,1884,2844,559,1765,2830,486,1504,2795,426,1460,2757,401,1572,2751,385,1946,2846
S18_selected_tokens_0054,169.8,0.25,OW,14,Maroon,54,5000,515,1303,2550,537,1164,2581,509,1029,2578,490,986,2564,458,921,2538,407,899,2543,371,1046,2526,345,1403,2308,303,1609,2045
S18_selected_tokens_0055,165.5,0.188,OW,14,Maroon,55,6421,559,1862,2901,638,1891,2886,642,1919,2857,628,1854,2814,591,1805,2783,534,1740,2727,500,1686,2687,484,1681,2651,475,1726,2584
S18_selected_tokens_0056,170.3,0.2,OW,14,Maroon,56,5789,497,1429,2569,534,1228,2531,533,1150,2541,521,1056,2543,497,1007,2543,477,942,2514,458,930,2490,449,1009,2454,443,1183,2339
S18_selected_tokens_0057,197,0.15,OW,14,Maroon,57,5632,687,1626,2734,659,1518,2654,592,1491,2580,548,1431,2549,515,1383,2536,484,1359,2529,460,1354,2517,447,1414,2493,428,1654,2492
S18_selected_tokens_0058,183.3,0.148,OW,14,Maroon,58,5316,462,836,2550,460,803,2567,442,785,2566,426,770,2550,415,763,2537,415,790,2534,412,883,2525,415,944,2526,409,1153,2524
S18_selected_tokens_0059,187.3,0.15,OW,14,Maroon,59,5789,551,1804,2720,594,1849,2627,587,1728,2564,561,1658,2562,528,1475,2556,487,1296,2569,455,1146,2567,427,1072,2551,425,1042,2495
S18_selected_tokens_0060,175.8,0.15,OW,14,Maroon,60,5789,480,1480,2654,540,1267,2639,542,1080,2671,520,1032,2706,498,921,2734,453,866,2657,417,854,2596,398,828,2564,331,977,2505
S18_selected_tokens_0061,222.5,0.15,UW,17,Cyan,61,5632,422,1177,2436,440,1166,2457,437,1142,2485,430,1134,2486,424,1116,2469,417,1101,2443,415,1100,2427,417,1152,2415,416,1356,2365
S18_selected_tokens_0062,201.1,0.148,UW,17,Cyan,62,5158,282,2474,2811,342,2499,2612,355,2454,2566,355,2321,2590,359,2170,2600,366,2082,2569,370,1958,2562,374,1926,2565,369,1936,2517
S18_selected_tokens_0063,193,0.2,UW,17,Cyan,63,6263,350,1094,2633,392,1125,2663,398,1059,2638,420,1050,2630,419,1150,2622,404,1257,2635,383,1210,2639,372,1256,2646,356,1676,2666
S18_selected_tokens_0064,186.2,0.208,UW,17,Cyan,64,5158,405,2290,2855,415,2289,2852,421,2273,2858,403,2157,2831,399,2068,2810,389,1947,2747,376,1865,2730,370,1903,2715,354,2085,2719
S18_selected_tokens_0065,186.8,0.188,UW,17,Cyan,65,5632,356,1788,2555,361,1630,2568,363,1475,2586,364,1364,2576,364,1310,2541,364,1279,2534,366,1260,2557,366,1319,2578,366,1512,2530
S18_selected_tokens_0066,176.6,0.158,UW,17,Cyan,66,5632,456,2743,3535,457,2740,3322,429,2723,3127,397,2680,2864,386,2373,2815,381,2138,2746,375,2036,2722,360,2005,2627,327,2083,2793
S18_selected_tokens_0067,188,0.178,UW,17,Cyan,67,6105,389,1601,2138,388,1509,2330,384,1423,2367,385,1412,2376,385,1443,2470,382,1530,2470,374,1605,2374,271,1574,2345,346,1865,3100
S18_selected_tokens_0068,177.1,0.2,UW,17,Cyan,68,5316,340,1887,2248,354,2045,2710,361,2171,2708,361,2153,2559,361,2062,2507,359,1906,2499,353,1778,2519,345,1859,2597,326,1930,2627
S18_selected_tokens_0069,185.3,0.168,UW,17,Cyan,69,5632,353,1510,2137,350,1585,2291,347,1591,2290,347,1597,2308,352,1592,2313,357,1573,2367,360,1529,2373,361,1503,2364,359,1591,2319
S18_selected_tokens_0070,173.3,0.228,UW,17,Cyan,70,6263,353,2049,2283,357,2200,2571,362,2302,2769,363,2284,2709,358,2158,2626,356,2097,2616,351,2010,2592,347,2006,2571,334,2086,2559
S18_selected_tokens_0071,199.7,0.158,UW,17,Cyan,71,5632,411,1694,2173,404,1690,2274,393,1636,2287,390,1559,2294,389,1489,2330,388,1533,2354,388,1588,2385,384,1706,2393,379,1767,2246
S18_selected_tokens_0072,186.9,0.2,UW,17,Cyan,72,5789,388,2072,2478,378,2210,2592,371,2312,2606,367,2285,2512,367,2246,2496,366,2057,2514,363,1975,2521,358,2069,2516,329,2108,2622
S18_selected_tokens_0073,190.8,0.19,UW,17,Cyan,73,5158,295,2119,2629,341,2105,2594,353,2036,2577,357,1940,2575,363,1900,2582,371,1782,2566,374,1762,2559,374,1849,2544,357,1958,2445
S18_selected_tokens_0074,179.5,0.178,UW,17,Cyan,74,5474,296,2646,3170,332,2664,3323,341,2687,3286,347,2647,3002,352,2518,2882,356,2368,2626,360,2143,2604,358,2117,2590,352,2157,2732
S18_selected_tokens_0075,199.7,0.178,UW,17,Cyan,75,5316,378,1646,2485,399,1639,2487,398,1592,2483,395,1509,2493,392,1431,2524,388,1410,2557,389,1457,2569,391,1654,2578,383,1930,2591
S18_selected_tokens_0076,187.3,0.168,UW,17,Cyan,76,6105,295,2640,3586,314,2695,3425,321,2616,3343,333,2601,3056,344,2448,2766,358,2299,2667,370,2209,2659,373,2180,2728,367,2199,2774
