Persona,Persona_Race,Persona_Orientation,Image_Cat,Image,Dim1_White,Dim2_American,Dim3_NonCalifornian,Dim1_rank,Dim2_rank,Dim3_rank,Overall_rank,FrCA,AsAm,WhAm,ForAcc,AmAcc,EthCul,AmCul,Color
msWhite,White,Mainstream,WAW,WAW-58,0.8526858629758374,0.8546625345864168,-0.07607124451797104,8,1,11,4.5,0.55,0.05,0.8,0.05,0.9,0.35,0.85,purple
msWhite,White,Mainstream,WAW,WAW-51,1.0874654381612026,0.8024734874502527,-0.8127268098936945,5,2,3,3.5,0.65,0.05,0.85,0.1,0.9,0.3,0.95,purple
msWhite,White,Mainstream,WAW,WAW-3,0.8137088576091356,0.7620949472191487,0.20889186477097177,9,3,12,6,0.525,0,0.75,0.1,0.75,0.4,0.95,purple
msWhite,White,Mainstream,WAW,WAW-56,0.7717244480972433,0.6441441700294679,-0.41816457816075703,12,4,6,8,0.575,0,0.7,0.05,0.9,0.45,0.8,purple
msWhite,White,Mainstream,WAW,WAW-4,0.7996025720200298,0.6266785100201553,-0.16639850398656933,10,5,9,7.5,0.55,0.1,0.8,0.1,0.9,0.4,0.8,purple
msWhite,White,Mainstream,WAW,WAW-57,0.9258089602104441,0.6000558029212382,-0.154944204489954,7,6,10,6.5,0.55,0.05,0.85,0.1,0.85,0.4,0.85,purple
msWhite,White,Mainstream,WAW,WAW-1,1.2494739557893153,0.5959409696808667,-0.351897406479155,4,7,7,5.5,0.575,0,0.95,0.15,0.9,0.3,0.9,purple
msWhite,White,Mainstream,WAW,WAW-41,0.7805210541657618,0.5270731177138251,-0.46346291810883594,11,8,5,9.5,0.575,0.1,0.8,0.1,0.95,0.45,0.75,purple
msWhite,White,Mainstream,WAW,WAW-12,1.4670217367418834,0.4535343958777921,-1.8338526541868412,1,9,1,5,0.75,0.05,0.9,0,0.85,0.25,0.9,purple
msWhite,White,Mainstream,WAW,WAW-23,1.0169092813310885,0.31966999906453275,-0.6090480122969781,6,10,4,8,0.6,0.1,0.75,0.1,0.75,0.35,0.85,purple
msWhite,White,Mainstream,WAW,WAW-16,1.3758711490823796,0.10087321069256683,-1.8332400778830926,2,11,2,6.5,0.725,0.05,0.85,0.05,0.85,0.35,0.8,purple
msWhite,White,Mainstream,WAW,WAW-43,1.3124870535508815,0.014171682171455646,-0.23128289625646087,3,12,8,7.5,0.525,0,0.95,0.1,0.7,0.4,0.8,purple
msAsian,Asian,Mainstream,AAW,AAW-18,-1.8243208761871559,2.056270313703574,0.5763339364107378,1,1,12,1,0.6,0.85,0.05,0.1,0.9,0.7,0.9,orange
msAsian,Asian,Mainstream,AAW,AAW-55,-1.7940509842413344,1.825457741656585,-1.090926002065443,3,2,3,2.5,0.8,0.95,0,0.1,0.95,0.75,0.9,orange
msAsian,Asian,Mainstream,AAW,AAW-47,-1.7996968468702415,1.1943528370811007,-0.37235196606015886,2,3,7,2.5,0.675,1,0,0.2,0.85,0.8,0.75,orange
msAsian,Asian,Mainstream,AAW,AAW-14,-1.1796346750814197,1.0793120707588675,0.6744945983074975,10,4,13,7,0.525,0.65,0.05,0.2,0.75,0.65,0.8,orange
msAsian,Asian,Mainstream,AAW,AAW-11,-1.1601715016528513,0.9990215130778113,0.06397370023246662,11,5,8,8,0.6,0.8,0,0.2,0.8,0.55,0.75,orange
msAsian,Asian,Mainstream,AAW,AAW-30,-1.3537156124765617,0.9951054701538006,-1.1345552898461315,7,6,2,6.5,0.75,0.9,0,0.1,0.8,0.7,0.75,orange
msAsian,Asian,Mainstream,AAW,AAW-45,-1.4861361900859018,0.8621494096484381,0.07021334934538348,5,7,9,6,0.6,0.85,0,0.3,0.8,0.75,0.75,orange
msAsian,Asian,Mainstream,AAW,AAW-36,-1.2518806459047842,0.8225787495514462,-0.9096857364694942,9,8,6,8.5,0.7,0.75,0,0.2,0.9,0.75,0.7,orange
msAsian,Asian,Mainstream,AAW,AAW-57,-1.571578901321398,0.7240663111413943,0.40289784345257296,4,9,11,6.5,0.55,0.9,0,0.15,0.6,0.8,0.7,orange
msAsian,Asian,Mainstream,AAW,AAW-49,-1.3554830846328723,0.7136544679278869,0.29263698220311063,6,10,10,8,0.575,0.85,0,0.3,0.65,0.7,0.8,orange
msAsian,Asian,Mainstream,AAW,AAW-12,-1.2671287954853623,0.7009857064585241,-1.003398136682475,8,11,4,9.5,0.725,0.9,0,0.2,0.75,0.7,0.75,orange
msAsian,Asian,Mainstream,AAW,AAW-13,-0.894282652796623,0.6970727145600144,-1.8571528997185573,13,12,1,12.5,0.8,0.65,0,0.1,0.9,0.7,0.7,orange
msAsian,Asian,Mainstream,AAW,AAW-56,-1.0606464598404,0.48615289158050473,-0.9997640510138941,12,13,5,12.5,0.7,0.9,0.05,0.1,0.7,0.65,0.65,orange
ethAsian,Asian,Ethnic,AAW,AAW-63,-0.16368608572769877,-2.2472399409705552,0.18951378557734622,21,1,11,11,0.4,0.6,0.1,0.6,0.3,0.85,0.35,blue
ethAsian,Asian,Ethnic,AAW,AAW-40,-0.5043123026176675,-2.189937028912652,0.27070471049108136,10,2,12,6,0.425,0.8,0,0.7,0.2,0.85,0.45,blue
ethAsian,Asian,Ethnic,AAW,AAW-54,-0.2922617962290901,-2.169750531233104,-0.036261002082500604,18,3,8,10.5,0.45,0.65,0,0.6,0.2,0.85,0.45,blue
ethAsian,Asian,Ethnic,AAW,AAW-7,-0.502515878323347,-1.9695585971532465,0.324811396790514,11,4,13,7.5,0.425,0.8,0,0.6,0.2,0.8,0.45,blue
ethAsian,Asian,Ethnic,AAW,AAW-25,-0.22541842584261018,-1.9135045281135914,0.062455777553317104,20,5,10,12.5,0.45,0.7,0,0.55,0.25,0.7,0.45,blue
ethAsian,Asian,Ethnic,AAW,AAW-59,-0.6491656703057409,-1.8350868894293384,1.6330246864466682,8,6,21,7,0.275,0.8,0,0.75,0.25,0.75,0.45,blue
ethAsian,Asian,Ethnic,AAW,AAW-4,-0.44416597506267186,-1.6351294192714265,-1.1366089228917835,14,7,3,10.5,0.625,0.8,0,0.5,0.3,0.8,0.55,red
ethAsian,Asian,Ethnic,AAW,AAW-60,-0.29846452867309264,-1.4415034498217212,0.4337736124666023,17,8,14,12.5,0.4,0.55,0.15,0.45,0.45,0.8,0.4,blue
ethAsian,Asian,Ethnic,AAW,AAW-48,-0.41980462206943414,-1.4183687365999915,-1.361524405564481,16,9,1,12.5,0.65,0.75,0,0.6,0.6,0.75,0.5,red
